,Weighting Ratio,Translational Error,Rotational Error
0,0.35,0.17605785494956705,0.423
1,0.3,0.19170286793361344,0.41500000000000004
2,0.25,0.20766752773132768,0.40700000000000003
3,0.2,0.2239569733000396,0.398
4,0.15,0.24057672863592472,0.391
5,0.1,0.26752204131384305,0.425
6,0.05,0.29016328509600725,0.523
7,0.01,0.29244185449857013,0.547
8,0.001,0.2924739362103989,0.547
9,0.005,0.29245967767092756,0.547
10,0.001,0.2924739362103989,0.547
11,0.0005,0.29247571852793186,0.547
12,0.0001,0.29247714438197414,0.547
