Type,Match,Node,x,y,o,z
Pose,,1,0.000245727,-1.94E-05,-0.000348399,-99999
Feat,,-1,-0.015857688,-0.409518373,-99999,0.127412317
Feat,,-2,-0.166643048,-0.380011507,-99999,0.136918377
Pose,,2,-0.291175457,-0.007318771,0.225321207,-99999
Feat,-1,-1,-0.039522939,-0.507076079,-99999,0.169411313
Feat,,-3,-0.040635093,-0.509414272,-99999,0.1717124
Pose,,3,-0.309738939,-0.004296268,0.09939169,-99999
Feat,-2,-2,-0.159923855,-0.368080098,-99999,-0.143532778
Feat,,-4,-0.158795188,-0.367972255,-99999,-0.142006258
Feat,-1,-1,-0.039530785,-0.495899413,-99999,0.174748206
Feat,-3,-3,-0.037979573,-0.495617069,-99999,0.176050009
Pose,,4,0.606658159,0.014715716,-0.504072988,-99999
Feat,-2,-2,-0.105323572,-0.331343616,-99999,-0.119957292
