Type,Match,Node,x,y,o,z,,,
Pose,,1,0.000245727,-1.94E-05,-0.000348399,-99999,,,
Feat,,-1,-0.004103211,0.398369073,-99999,0.127412317,,,
Feat,,-2,-0.154888571,0.368862207,-99999,0.136918377,,,
Pose,,2,-0.291175458,-0.007318771,0.225321207,-99999,,,
Feat,-1,-1,-0.311625148,0.794421009,-99999,0.169411313,,,
Feat,,-3,-0.312737302,0.796759202,-99999,0.1717124,,,
Pose,,3,-0.309738939,-0.004296268,0.09939169,-99999,,,
Feat,-2,-2,-0.737468734,0.969460235,-99999,-0.143532778,,,
Feat,,-4,-0.736340068,0.969352391,-99999,-0.142006258,,,
Feat,-1,-1,-0.617075665,1.097279549,-99999,0.174748206,,,
Feat,-3,-3,-0.615524453,1.096997205,-99999,0.176050009,,,
Pose,,4,0.606658159,0.014715716,-0.504072988,-99999,,,
Feat,-2,-2,-0.090926009,0.311349877,-2.082428209,-0.119957292,,,
